date,from,to,count
2020-01-01,動物園,木柵,21068
2020-01-01,木柵,萬芳社區,26033
2020-01-01,萬芳社區,萬芳醫院,28667
2020-01-01,萬芳醫院,辛亥,41677
2020-01-01,辛亥,麟光,45258
2020-01-01,麟光,六張犁,50323
2020-01-01,六張犁,科技大樓,60886
2020-01-01,科技大樓,大安,72141
2020-01-01,大安,忠孝復興,77135
2020-01-01,大安,信義安和,11254
2020-01-01,大安,大安森林公園,115704
2020-01-01,忠孝復興,南京復興,67885
2020-01-01,忠孝復興,忠孝新生,88312
2020-01-01,忠孝復興,忠孝敦化,216212
2020-01-01,南京復興,中山國中,23531
2020-01-01,南京復興,松江南京,119578
2020-01-01,南京復興,台北小巨蛋,61997
2020-01-01,中山國中,松山機場,22559
2020-01-01,松山機場,大直,23201
2020-01-01,大直,劍南路,21904
2020-01-01,劍南路,西湖,22311
2020-01-01,西湖,港墘,21650
2020-01-01,港墘,文德,20547
2020-01-01,文德,內湖,19729
2020-01-01,內湖,大湖公園,18619
2020-01-01,大湖公園,葫洲,18059
2020-01-01,葫洲,東湖,17315
2020-01-01,東湖,南港軟體園區,18796
2020-01-01,南港軟體園區,南港展覽館,17669
2020-01-01,南港展覽館,南港,56625
2020-01-01,象山,台北101/世貿,23877
2020-01-01,台北101/世貿,信義安和,84224
2020-01-01,大安森林公園,東門,122507
2020-01-01,東門,中正紀念堂,107354
2020-01-01,東門,古亭,53579
2020-01-01,東門,忠孝新生,81178
2020-01-01,中正紀念堂,台大醫院,96154
2020-01-01,中正紀念堂,古亭,127433
2020-01-01,中正紀念堂,小南門,104694
2020-01-01,台大醫院,台北車站,104897
2020-01-01,台北車站,中山,189810
2020-01-01,台北車站,西門,194265
2020-01-01,台北車站,善導寺,116249
2020-01-01,中山,雙連,241922
2020-01-01,中山,北門,34993
2020-01-01,中山,松江南京,98506
2020-01-01,雙連,民權西路,243796
2020-01-01,民權西路,圓山,155240
2020-01-01,民權西路,中山國小,29357
2020-01-01,民權西路,大橋頭站,149027
2020-01-01,圓山,劍潭,154041
2020-01-01,劍潭,士林,138093
2020-01-01,士林,芝山,129512
2020-01-01,芝山,明德,122885
2020-01-01,明德,石牌,117623
2020-01-01,石牌,唭哩岸,105845
2020-01-01,唭哩岸,奇岩,101923
2020-01-01,奇岩,北投,97090
2020-01-01,北投,新北投,9648
2020-01-01,北投,復興崗,79193
2020-01-01,復興崗,忠義,77486
2020-01-01,忠義,關渡,76469
2020-01-01,關渡,竹圍,70691
2020-01-01,竹圍,紅樹林,65505
2020-01-01,紅樹林,淡水,57183
2020-01-01,新店,新店區公所,14351
2020-01-01,新店區公所,七張,23740
2020-01-01,七張,小碧潭,3080
2020-01-01,七張,大坪林,39137
2020-01-01,大坪林,景美,50486
2020-01-01,景美,萬隆,59571
2020-01-01,萬隆,公館,64471
2020-01-01,公館,台電大樓,77164
2020-01-01,台電大樓,古亭,86110
2020-01-01,古亭,頂溪,104514
2020-01-01,小南門,西門,103517
2020-01-01,西門,北門,33444
2020-01-01,西門,龍山寺,220939
2020-01-01,松江南京,忠孝新生,38039
2020-01-01,松江南京,行天宮,55795
2020-01-01,台北小巨蛋,南京三民,46559
2020-01-01,南京三民,松山,31204
2020-01-01,南勢角,景安,12128
2020-01-01,景安,永安市場,23182
2020-01-01,永安市場,頂溪,33224
2020-01-01,忠孝新生,善導寺,70085
2020-01-01,行天宮,中山國小,39683
