"in_station","out_station","sum"
"三和國中","南港軟體園區",445
"大安","新埔民生",10
"行天宮","中山國小",4366
"公館","後山埤",1662
"六張犁","古亭",438
"文德","南勢角",371
"南港展覽館","忠孝復興",19728
"北門","後山埤",867
"台北小巨蛋","淡水",6196
"南港展覽館","頂埔",2471
"松江南京","松山",23923
"江子翠","丹鳳",287
"台北101/世貿","行天宮",6613
"古亭","中山國小",6137
"新埔","北投",2297
"萬隆","東門",2565
"台電大樓","幸福",302
"南港","忠孝復興",15919
"中和","新北投",63
"昆陽","復興崗",245
"麟光","動物園",2245
"木柵","松江南京",996
"石牌","台電大樓",3085
"小碧潭","大坪林",3459
"淡水","中山國中",959
"景平","板新",2486
"復興崗","東湖",54
"圓山","台北小巨蛋",4964
"小南門","大直",433
"新北投","新莊",686
"新店區公所","台北小巨蛋",4311
"古亭","七張",9261
"輔大","徐匯中學",2049
"秀朗橋","麟光",12
"台電大樓","士林",3885
"永安市場","關渡",2052
"小碧潭","紅樹林",198
"公館","忠孝敦化",4166
"新北產業園區","昆陽",83
"南港軟體園區","台北小巨蛋",302
"中和","文德",32
"大直","中原",54
"台北車站","國父紀念館",34734
"南港","中山國中",1617
"台北小巨蛋","萬隆",3390
"內湖","橋和",90
"圓山","新埔民生",33
"葫洲","丹鳳",170
"大橋頭站","奇岩",782
"府中","松山",3924
"萬隆","中山國中",328
"台北101/世貿","台北橋",4136
"後山埤","芝山",1421
"麟光","南港軟體園區",480
"昆陽","民權西路",942
"三民高中","圓山",3250
"幸福","大湖公園",33
"小南門","先嗇宮",64
"三和國中","橋和",192
"三民高中","台北小巨蛋",4816
"芝山","先嗇宮",1119
"景平","國父紀念館",287
"龍山寺","關渡",2054
"後山埤","北投",778
"台北101/世貿","北門",2789
"大直","忠孝敦化",2656
"南勢角","三重",2093
"輔大","劍南路",551
"忠孝復興","中正紀念堂",3752
"頂溪","徐匯中學",4217
"萬芳社區","忠孝新生",664
"徐匯中學","府中",1242
"忠義","木柵",61
"中山國中","秀朗橋",210
"昆陽","景安",2716
"新店區公所","劍潭",2763
"古亭","行天宮",12460
"信義安和","松江南京",4134
"輔大","輔大",1165
"永安市場","Y板橋",3152
"東門","中和",863
"北門","大湖公園",275
"六張犁","台北車站",13005
"劍潭","港墘",349
"辛亥","後山埤",296
"景安","台大醫院",10669
"大湖公園","復興崗",3
"萬芳醫院","萬隆",37
"三重國小","南港",1326
"大坪林","七張",8563
"北投","紅樹林",9019
"Y板橋","南港",4
"明德","台北小巨蛋",2706
"北投","奇岩",2627
"永春","台北小巨蛋",497
"士林","新莊",3464
"科技大樓","丹鳳",646
"木柵","中山國小",344
"石牌","信義安和",6354
"亞東醫院","南勢角",1328
"葫洲","小南門",418
"忠義","中山國小",295
"台北101/世貿","萬芳社區",265
"丹鳳","昆陽",1002
"頂溪","永春",4843
"唭哩岸","景安",744
"國父紀念館","台大醫院",744
"西門","永春",15573
"忠孝復興","新北產業園區",244
"大湖公園","南港",3466
