date,from,to,count
2020-01,動物園,木柵,474030
2020-01,木柵,萬芳社區,695622
2020-01,萬芳社區,萬芳醫院,814555
2020-01,萬芳醫院,辛亥,1409215
2020-01,辛亥,麟光,1564322
2020-01,麟光,六張犁,1736699
2020-01,六張犁,科技大樓,2193721
2020-01,科技大樓,大安,2748579
2020-01,大安,忠孝復興,2984789
2020-01,大安,信義安和,338053
2020-01,大安,大安森林公園,3927632
2020-01,忠孝復興,南京復興,2707489
2020-01,忠孝復興,忠孝新生,3093410
2020-01,忠孝復興,忠孝敦化,7672182
2020-01,南京復興,中山國中,1176271
2020-01,南京復興,松江南京,5101905
2020-01,南京復興,台北小巨蛋,2230932
2020-01,中山國中,松山機場,1135189
2020-01,松山機場,大直,1173506
2020-01,大直,劍南路,1125005
2020-01,劍南路,西湖,1110855
2020-01,西湖,港墘,1035492
2020-01,港墘,文德,977454
2020-01,文德,內湖,947273
2020-01,內湖,大湖公園,884911
2020-01,大湖公園,葫洲,852768
2020-01,葫洲,東湖,770966
2020-01,東湖,南港軟體園區,772808
2020-01,南港軟體園區,南港展覽館,692089
2020-01,南港展覽館,南港,1730997
2020-01,象山,台北101/世貿,726223
2020-01,台北101/世貿,信義安和,2391486
2020-01,大安森林公園,東門,4224360
2020-01,東門,中正紀念堂,3598565
2020-01,東門,古亭,2290245
2020-01,東門,忠孝新生,3102935
2020-01,中正紀念堂,台大醫院,3242597
2020-01,中正紀念堂,古亭,4768893
2020-01,中正紀念堂,小南門,3714137
2020-01,台大醫院,台北車站,3727539
2020-01,台北車站,中山,6027014
2020-01,台北車站,西門,5935691
2020-01,台北車站,善導寺,3958714
2020-01,中山,雙連,8183295
2020-01,中山,北門,1719542
2020-01,中山,松江南京,3591272
2020-01,雙連,民權西路,8278370
2020-01,民權西路,圓山,4992497
2020-01,民權西路,中山國小,1069677
2020-01,民權西路,大橋頭站,5727121
2020-01,圓山,劍潭,4962323
2020-01,劍潭,士林,4599515
2020-01,士林,芝山,4389851
2020-01,芝山,明德,4089441
2020-01,明德,石牌,3884088
2020-01,石牌,唭哩岸,3443890
2020-01,唭哩岸,奇岩,3289555
2020-01,奇岩,北投,3090841
2020-01,北投,新北投,233893
2020-01,北投,復興崗,2500858
2020-01,復興崗,忠義,2417272
2020-01,忠義,關渡,2351162
2020-01,關渡,竹圍,2095574
2020-01,竹圍,紅樹林,1841509
2020-01,紅樹林,淡水,1489543
2020-01,新店,新店區公所,465711
2020-01,新店區公所,七張,832927
2020-01,七張,小碧潭,91093
2020-01,七張,大坪林,1413412
2020-01,大坪林,景美,1855358
2020-01,大坪林,十四張,216252
2020-01,景美,萬隆,2184246
2020-01,萬隆,公館,2380867
2020-01,公館,台電大樓,2823282
2020-01,台電大樓,古亭,3158775
2020-01,古亭,頂溪,4129745
2020-01,小南門,西門,3670511
2020-01,西門,北門,1307604
2020-01,西門,龍山寺,7758976
2020-01,松江南京,忠孝新生,1520933
2020-01,松江南京,行天宮,2226892
2020-01,台北小巨蛋,南京三民,1708032
2020-01,南京三民,松山,1065761
2020-01,南勢角,景安,457695
2020-01,景安,永安市場,865973
2020-01,景安,景平,33420
2020-01,景安,中和,388908
2020-01,永安市場,頂溪,1230597
2020-01,忠孝新生,善導寺,2367307
2020-01,行天宮,中山國小,1688143
2020-01,大橋頭站,台北橋,2841145
2020-01,大橋頭站,三重國小,2858452
2020-01,台北橋,菜寮,2514176
2020-01,菜寮,三重,2220081
2020-01,三重,先嗇宮,2011767
2020-01,先嗇宮,頭前庄,1876053
2020-01,頭前庄,新莊,1761588
2020-01,頭前庄,新埔民生,69315
2020-01,頭前庄,幸福,125242
2020-01,新莊,輔大,1334845
2020-01,輔大,丹鳳,908512
2020-01,丹鳳,迴龍,472351
2020-01,三重國小,三和國中,2361482
2020-01,三和國中,徐匯中學,1812246
2020-01,徐匯中學,三民高中,1238077
2020-01,三民高中,蘆洲,664165
2020-01,頂埔,永寧,270377
2020-01,永寧,土城,595952
2020-01,土城,海山,768842
2020-01,海山,亞東醫院,1211740
2020-01,亞東醫院,府中,1614076
2020-01,府中,BL板橋,1956664
2020-01,BL板橋,新埔,2119581
2020-01,BL板橋,Y板橋,6648
2020-01,新埔,江子翠,2127095
2020-01,新埔,新埔民生,22522
2020-01,江子翠,龍山寺,2007143
2020-01,忠孝敦化,國父紀念館,6501290
2020-01,國父紀念館,市政府,5771843
2020-01,市政府,永春,3174235
2020-01,永春,後山埤,2372940
2020-01,後山埤,昆陽,1664129
2020-01,昆陽,南港,1035754
2020-01,十四張,秀朗橋,219357
2020-01,秀朗橋,景平,229152
2020-01,中和,橋和,375378
2020-01,橋和,中原,373706
2020-01,中原,板新,370001
2020-01,板新,Y板橋,363483
2020-01,Y板橋,新埔民生,259121
2020-01,幸福,新北產業園區,81512
2020-02,動物園,木柵,358165
2020-02,木柵,萬芳社區,536970
2020-02,萬芳社區,萬芳醫院,643996
2020-02,萬芳醫院,辛亥,1161072
2020-02,辛亥,麟光,1304104
2020-02,麟光,六張犁,1453175
2020-02,六張犁,科技大樓,1867431
2020-02,科技大樓,大安,2360270
2020-02,大安,忠孝復興,2560692
2020-02,大安,信義安和,277416
2020-02,大安,大安森林公園,3236179
2020-02,忠孝復興,南京復興,2336190
2020-02,忠孝復興,忠孝新生,2612313
