color,path
red,象山_台北101/世貿_信義安和_大安_大安森林公園_東門_中正紀念堂_台大醫院_台北車站_中山_雙連_民權西路_圓山_劍潭_士林_芝山_明德_石牌_唭哩岸_奇岩_北投_復興崗_忠義_關渡_竹圍_紅樹林_淡水
red,北投_新北投
green,新店_新店區公所_七張_大坪林_景美_萬隆_公館_台電大樓_古亭_中正紀念堂_小南門_西門_北門_中山_松江南京_南京復興_台北小巨蛋_南京三民_松山
green,七張_小碧潭
orange,南勢角_景安_永安市場_頂溪_古亭_東門_忠孝新生_松江南京_行天宮_中山國小_民權西路_大橋頭站_台北橋_菜寮_三重_先嗇宮_頭前庄_新莊_輔大_丹鳳_迴龍
orange,大橋頭站_三重國小_三和國中_徐匯中學_三民高中_蘆洲
brown,動物園_木柵_萬芳社區_萬芳醫院_辛亥_麟光_六張犁_科技大樓_大安_忠孝復興_南京復興_中山國中_松山機場_大直_劍南路_西湖_港墘_文德_內湖_大湖公園_葫洲_東湖_南港軟體園區_南港展覽館
blue,頂埔_永寧_土城_海山_亞東醫院_府中_BL板橋_新埔_江子翠_龍山寺_西門_台北車站_善導寺_忠孝新生_忠孝復興_忠孝敦化_國父紀念館_市政府_永春_後山埤_昆陽_南港_南港展覽館
yellow,大坪林_十四張_秀朗橋_景平_景安_中和_橋和_中原_板新_Y板橋_新埔民生_頭前庄_幸福_新北產業園區
grey,新埔民生_新埔
grey,BL板橋_Y板橋
